Ticker,Setor,Empresa,RazaoSocial
EPAR3,Comércio,EMBPAR S/A,EMBPAR PARTICIPACOES S.A.
EQPA3,Energia Elétrica,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQTL3,Energia Elétrica,EQUATORIAL,EQUATORIAL S.A.
ESPA3,Comércio,ESPACOLASER,MPM CORPÓREOS S.A.
ESTR4,Viagens e Lazer,ESTRELA,MANUFATURA DE BRINQUEDOS ESTRELA S.A.
ETER3,Construção e Engenharia,ETERNIT,ETERNIT S.A.
EUCA3,Madeira e Papel,EUCATEX,EUCATEX S.A. INDUSTRIA E COMERCIO
EUCA4,Madeira e Papel,EUCATEX,EUCATEX S.A. INDUSTRIA E COMERCIO
EVEN3,Construção Civil,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.
EZTC3,Construção Civil,EZTEC,EZ TEC EMPREEND. E PARTICIPACOES S.A.
FESA4,Siderurgia e Metalurgia,FERBASA,CIA FERRO LIGAS DA BAHIA - FERBASA
FHER3,Químicos,FER HERINGER,FERTILIZANTES HERINGER S.A.
FICT3,Alimentos Processados,FICTORALIMEN,Fictor Alimentos S.A.
FIQE3,Telecomunicações,UNIFIQUE,UNIFIQUE TELECOMUNICAÇÕES S.A.
FLRY3,Serv.Méd.Hospit. Análises e Diagnósticos,FLEURY,FLEURY S.A.
FRAS3,Material de Transporte,FRAS-LE,FRASLE MOBILITY S.A.
GFSA3,Construção Civil,GAFISA,GAFISA S.A.
GGBR3,Siderurgia e Metalurgia,GERDAU,GERDAU S.A.
GGBR4,Siderurgia e Metalurgia,GERDAU,GERDAU S.A.
GGPS3,Serviços Diversos,GPS,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.
GMAT3,Comércio e Distribuição,GRUPO MATEUS,GRUPO MATEUS S.A.
GOAU3,Siderurgia e Metalurgia,GERDAU MET,METALURGICA GERDAU S.A.
GOAU4,Siderurgia e Metalurgia,GERDAU MET,METALURGICA GERDAU S.A.
GRND3,"Tecidos, Vestuário e Calçados",GRENDENE,GRENDENE S.A.
HAGA3,Construção e Engenharia,HAGA S/A,HAGA S.A. INDUSTRIA E COMERCIO
HAGA4,Construção e Engenharia,HAGA S/A,HAGA S.A. INDUSTRIA E COMERCIO
HAPV3,Serv.Méd.Hospit. Análises e Diagnósticos,HAPVIDA,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA
HBOR3,Construção Civil,HELBOR,HELBOR EMPREENDIMENTOS S.A.
